"Timestamp","Invn.Supplies","Invn.MedSupplies","Invn.Medications","Invn.Urgent"
2013-06-10 15:55:00,NA,"10cc Syringes, Oops, I'll fix this question later!","Baytril, IV Lines (with port + screw), Cefazolin/Ampicillin, Famotidine",NA
2013-06-10 21:59:00,NA,"Critical care or Recovery food, 1cc Syringes, 3cc Syringes, 10cc Syringes, 18 G needles, 22 G needles","IV Lines (with port + screw), Cefazolin/Ampicillin, Famotidine, Anzemet, Sucralfate, any anti-emetic, everything listed is either out or very low",NA
2013-06-11 10:57:00,NA,"3cc Syringes, 10cc Syringes","IV Lines (with port + screw), Cefazolin/Ampicillin, Zantac, Famotidine, Anzemet, Ampicillin",NA
2013-06-11 23:26:00,NA,"10cc Syringes","IV Lines (with port + screw), Famotidine, Parvo tests, sulcrafate/carafate, DAPP",NA
2013-06-12 12:04:00,NA,"Laundry Detergent, 1cc Syringes, 3cc Syringes, 10cc Syringes, big black garbage bags","Dextrose, Famotidine, Buprenex, Anzemet, sucralfate,",NA
2013-06-12 21:32:00,NA,"3cc Syringes","Polyflex, Famotidine, Anzemet, 3ml syringes",NA
2013-06-13 12:23:00,NA,"3cc Syringes, Iodine, 24G catheters, 60cc syringe","Polyflex, Dextrose, Zantac, Famotidine, Buprenex, Anzemet, sucralfate, caratate, ",NA
2013-06-13 22:42:00,NA,"thermometers","Anzemet",NA
2013-06-14 11:09:00,NA,"only one box 10cc syringes","KCl - only 0.6mLs left, so new bags do not have it",NA
2013-06-14 22:59:00,NA,"none","IV Lines (with port + screw), Anzemet",NA
2013-06-15 12:03:00,NA,"Laundry Detergent","IV Lines (with port + screw), Anzemet, Pepcid, KCL",NA
2013-06-15 21:47:00,NA,"Nothing new ","Anzemet, Pepcid",NA
2013-06-16 11:40:00,NA,"Gloves - medium","None",NA
2013-06-16 20:37:00,NA,"22G catheters","Polyflex, IV Lines (with port + screw), Anzemet, Metro tabs",NA
2013-06-17 11:30:00,NA,"24G catheters, good catheter tapes.door stopper?","IV Lines (with port + screw), Zantac, Anzemet, pepcid tab, KCL",NA
2013-06-17 22:04:00,NA,"Critical care or Recovery food, Iodine, Catheter tape, Press-N-Seal Wrap","Famotidine, Anzemet",NA
2013-06-18 10:42:00,NA,"Paper Towels","None",NA
2013-06-18 20:22:00,NA,"None","IV Lines (with port + screw), Pepcid (famotidine) tabs",NA
2013-06-19 12:05:00,NA,"None","Anzemet, Pepcid (famotidine) tabs",NA
2013-06-19 21:41:00,NA,"Cream Cheese","None",NA
2013-06-20 11:44:00,NA,"Critical care or Recovery food, 22g needles","None",NA
2013-06-20 21:25:00,NA,"None","LRS, Metronidazole liquid",NA
2013-06-21 10:37:00,NA,"Critical care or Recovery food, 22g needles","Famotidine",NA
2013-06-21 21:41:00,NA,"Critical care or Recovery food, vienna sausages","Doxycycline liquid, Metronidazole liquid",NA
2013-06-22 10:39:00,NA,"22G catheters","Famotidine",NA
2013-06-22 22:36:00,NA,"Critical care or Recovery food, Laundry Detergent, Vet wrap, vienna sausages, 22G needles","LRS, Strongid - we used the last of it",NA
2013-06-23 12:11:00,NA,"Critical care or Recovery food, Laundry Detergent, Vet wrap, 60cc syringe (only 1 )","LRS, Famotidine, Buprenex, (we have 5new LRS bags)",NA
2013-06-23 22:39:00,NA,"None","Famotidine, Doxycycline tabs",NA
2013-06-24 11:07:00,NA,"Critical care or Recovery food, Bleach, 22g needles","LRS, Zantac, Famotidine, Buprenex",NA
2013-06-24 22:14:00,NA,"20G catheters, 22G needles, 60cc syringes","Zantac, Famotidine, Metronidazole liquid, Strongid",NA
2013-06-26 00:20:00,NA,"1cc Syringes, 10cc Syringes, Plastic wrap to cover food","Anzemet, KCL, Stongid",NA
2013-06-26 14:08:00,NA,"60ml syringes, Turkey 1pack lefet.","Zantac, Famotidine, Anzemet",NA
2013-06-26 21:35:00,NA,"10cc Syringes","Zantac, Anzemet",NA
2013-06-27 13:28:00,NA,"10cc Syringes","Zantac, Famotidine, Anzemet",NA
2013-06-28 15:18:00,NA,"10cc Syringes","Zantac, Anzemet, dlhpp, vaccines",NA
2013-06-29 00:20:00,NA,"Gloves - small, Gloves - medium, 1cc Syringes, 3cc Syringes, 10cc Syringes, Syringes won't last the weekend, we're going through about 1/2 box a day because there are so many dogs","Dextrose, Zantac, Anzemet, Doxycycline tabs, Tape Worm dewormer (Virbantel, Drontal, etc), Parvo tests (totally out!), bordatella vaccines (2 left), Erithromycin eye ointment (for Lola)",NA
2013-06-29 12:19:00,NA,"Turkey, Gloves - small, Gloves - medium, 1cc Syringes, 10cc Syringes","Zantac, Anzemet",NA
2013-06-29 21:00:00,NA,"10cc Syringes","None",NA
2013-06-30 20:34:00,NA,"1cc Syringes, 3cc Syringes","Anzemet",NA
2013-07-01 09:55:00,NA,"Dry I/D or E/N, Gloves - small, 1cc Syringes, 3cc Syringes","None",NA
2013-07-01 21:14:00,NA,"Dry I/D or E/N, 1cc Syringes, 3cc Syringes, 20G catheters, 24G catheters, Catheter caps, 18G syringes, 22G syringes,Black Garbage Bags,","Dextrose, Buprenex",NA
2013-07-02 10:06:00,NA,"Canned food, Critical care or Recovery food, 1cc Syringes","None",NA
2013-07-02 21:16:00,NA,"None","KCL, Metronidazole liquid",NA
2013-07-03 09:31:00,NA,"None","None",NA
2013-07-03 20:26:00,NA,"None","None",NA
2013-07-04 09:27:00,NA,"None","None",NA
2013-07-04 20:03:00,NA,"Critical care or Recovery food","18g needles",NA
2013-07-05 11:02:00,NA,"Canned food, bottled water for staff","None",NA
2013-07-05 20:38:00,NA,"only one box of 18G needles left","None",NA
2013-07-06 10:55:00,NA,"Turkey, Critical care or Recovery food","None",NA
2013-07-06 20:38:00,NA,"Dry I/D or E/N","None",NA
2013-07-07 10:21:00,NA,"Turkey, Critical care or Recovery food, 22g needles","None",NA
