"Timestamp","Dogs.in.ICU","Shift.Time","Count_Crt","Count_Int","Count_Wel","Count_Dsc","Count_Dis","Count_New","Count_Vols"
2013-06-10 15:55:00,10,5,4,1,5,1,4,0,2
2013-06-10 21:59:00,10,2.5,2,4,4,0,0,0,2
2013-06-11 10:57:00,10,3,1,5,4,0,0,1,3
2013-06-11 23:26:00,15,4.5,3,4,5,0,0,4,3
2013-06-12 12:04:00,11,3,3,4,0,1,3,0,5
2013-06-12 21:32:00,11,2,3,2,6,0,0,0,3
2013-06-13 12:23:00,10,4,4,2,4,1,0,0,2
2013-06-13 22:42:00,11,3.5,4,3,4,0,0,1,2
2013-06-14 11:09:00,10,3,3,5,2,0,1,0,2
2013-06-14 22:59:00,10,3.5,3,5,2,0,0,0,2
2013-06-15 12:03:00,10,2.5,2,0,1,0,0,0,4
2013-06-15 21:47:00,0,2.5,1,5,3,0,0,1,2
2013-06-16 11:40:00,8,3,0,3,5,1,0,0,3
2013-06-16 20:37:00,10,2,0,6,4,0,0,0,2
2013-06-17 11:30:00,8,2.5,2,5,1,1,1,0,3
2013-06-17 22:04:00,8,2.5,1,6,1,0,0,0,2
2013-06-18 10:42:00,8,2.5,1,6,1,0,0,0,3
2013-06-18 20:22:00,8,1.5,1,3,4,0,0,0,3
2013-06-19 12:05:00,8,4,1,5,2,0,1,1,3
2013-06-19 21:41:00,12,2.5,3,3,5,0,0,4,2
2013-06-20 11:44:00,12,4,3,2,7,0,0,0,2
2013-06-20 21:25:00,13,2,4,2,7,0,0,1,3
2013-06-21 10:37:00,13,2.5,3,2,8,0,0,0,4
2013-06-21 21:41:00,12,2.5,1,1,10,1,0,0,2
2013-06-22 10:39:00,12,3,1,1,10,0,3,0,2
2013-06-22 22:36:00,13,3,5,0,8,0,0,4,2
2013-06-23 12:11:00,11,3,3,2,6,0,1,0,3
2013-06-23 22:39:00,14,3.5,3,3,0,0,0,2,2
2013-06-24 11:07:00,13,3.5,3,2,8,0,1,0,3
2013-06-24 22:14:00,13,3,3,3,7,1,0,1,2
2013-06-26 00:20:00,13,5.5,5,3,5,0,0,5,3
2013-06-26 14:08:00,14,5,5,3,0,0,0,0,3
2013-06-26 21:35:00,13,2,6,2,4,0,0,1,4
2013-06-27 13:28:00,13,0.5,5,3,4,0,1,1,3
2013-06-28 15:18:00,16,8,6,6,5,2,0,1,4
2013-06-29 00:20:00,18,5.5,6,6,5,1,0,0,3
2013-06-29 12:19:00,16,4,3,8,5,1,1,0,3
2013-06-29 21:00:00,16,2.5,5,3,8,1,0,1,7
2013-06-30 20:34:00,12,1.5,1,0,8,0,3,0,3
2013-07-01 09:55:00,12,2,1,3,8,0,3,0,2
2013-07-01 21:14:00,8,2,0,0,8,1,0,0,4
2013-07-02 10:06:00,5,1,0,1,4,0,3,0,2
2013-07-02 21:16:00,5,2,1,0,4,0,0,0,3
2013-07-03 09:31:00,5,1.5,0,1,4,0,2,0,3
