"Timestamp","Vol2","Dsc.Detail","Questions","Additional","Catheters"
2013-06-10 15:55:00,NA,NA,NA,"Ampicillin can be used in place of cefazolin - dose is the same.

Somebody has been using 18G needs in the Oxytetracycline!!!!!!!!!!!!!!!!!!!!!!!!!! A hole is already starting to form :(","Flora - replaced to right rear w/ T port
Paps - placed on front w/ T port
Flynn - replaced to front left - no T port
Falcor - replaced to front left - no T port"
2013-06-10 21:59:00,NA,NA,NA,"All the meds we need, we really need. We finished the famotadine, which leaves us with Reglan as the only anti-emetic back here. There are about 5 tabs of sucralfate left, and a several dogs are getting a whole tablet. We started the last bottle of Ampicillin, but morning shift will probably need more. There are no new IV lines, only the ones we re-use. There are no 10 cc syringes, one box of 1 cc, 1 and 1/2 boxes of 3 cc syringes, and no extra boxes of 18 G needles or 22 G needles. we have 3 (little) cans of recovery/critical care food. 

I left a syringe of recovery in the fridge, anyone can get it tomorrow. I was gonna give it to Paps, but then he vomited a bunch while I went to get it. ","Flora- catheter replaced in Left Front leg
"
2013-06-11 10:57:00,NA,NA,NA,"We don't have any famotidine, cefazolin and couldn't give them.
","Cookie, Flynn"
2013-06-11 23:26:00,NA,NA,NA,"Kennel in back, the one the cats are supposed to be in, did not get cleaned out. It is very, very dirty. We are sorry!!!",NA
2013-06-12 12:04:00,NA,NA,NA,"1)
We had to discard a bottle of Dextrose because it was hung outside the fridge. Please make sure every precious meds are in place.  (Per Dr. Johnson)
2)
Let's use the pump chart again. Cookie's pump was beeping says \"finish\" and bag was enough. Drs want to know how much was given when it was beeping.

we got some supplies (vet wrap, cefazolin, needles etc) thanks!!


","Max: very first catheter, left front"
2013-06-12 21:32:00,NA,NA,NA,"Got 10cc syringes, 1cc syringes

","None"
2013-06-13 12:23:00,NA,NA,NA,NA,"Max - left back
Dopey - attempted "
2013-06-13 22:42:00,NA,NA,NA,"We got 3 loads of laundry done, but it's really piling up back there. 

This is the second shift I've found the needles for CRI hetastarch disconnected  from the fluid line even though they were taped in. When you tape in needles/lines that need to stay in (because there's not a screw-on port), make sure to tape it really well, probably with at least one loop around the fluid line that's actually in the catheter and another couple of loops around the hetastarch needle and line, not just one loop around everything. Thanks for labeling the tape, though, it makes it easy to figure out that the hetastarch line should be connected and came loose. 

I can only find one thermometer and it's not working real well.  We shouldn't be immersing them in water to wash, just wipe all visible debris off then spray with alcohol and let dry. I think a lot of the thermometers stop working because they are getting washed in the sink and the water ruins the electronics. ","Tried to replace Max's, not successful"
2013-06-14 11:09:00,NA,NA,NA,NA,NA
2013-06-14 22:59:00,NA,NA,NA,"Got some more baby food, Rachel said she will restock in the morning. Also, what are we supposed to do with the potty pads? We can't flush them down the toilet, but if they get diarrhea on them, then are we supposed to put them in the trash? Just wondering!

Good night all!! Send these puppies your love, they need it!","Max got a jugular catheter this pm"
2013-06-15 12:03:00,NA,NA,NA,"On fluid chart, let's simply note the actual volume left in a bag. and of course reset the pump.

Please pray for MAX!

","0
Tried to place sleepy catheter, but couldnt."
2013-06-15 21:47:00,NA,NA,NA,"Keep Max in your thoughts. ",NA
2013-06-16 11:40:00,NA,"He looked terrible this am, low temp and just completely out of it.  I tried to stabilize him but his poor body finally gave up.",NA,"Peggy got all of the ice out of the freezer but it needs to be completely unplugged and defrosted for probably 2 days.  When we have time we can do this.  
Also we noticed a few bags that were open but not dated or not labeled SQ....we were unsure if it does not say SQ on it can we still use it for that?  I tossed all bags that weren't dated.  Also noticed a lot of bags with reglan on the wall that were not covered...are they still good???
Thanks all....keep an eye of Minnie.

oh one last thing....we poured bleach water down Gooches drain do to sooo much poop that had fallen through it and a large roach crawled up and died, rip....can we bleach those out from time to time....they get very musty smelling from urine and vomit that land through there.",NA
2013-06-16 20:37:00,NA,NA,NA,"Please leave labelled drawn up meds in the cabinet/fridge - either throw it out or put it back in the container (if you just pulled it up, realize you dont need it, and its still sterile).

We only need 1 bag for making dilutions. Pull diluent up before adding the medication to the vile. There were 5 at the beginning of shift today but I made the baytril one into a IV Bolus bag.","We were going to place a catheter in Quizno but he is very wiggly and looking OK still so we held off"
2013-06-17 11:30:00,NA,NA,NA,"Please monitor Quizno and Dopey (they are on SQ )
Got baby foods, 3 new thermometers, cotton balls etc. THANKS!","-"
