"Timestamp","Dogs.in.ICU","Shift.Time","Count_Crt","Count_Int","Count_Wel","Count_Dsc","Volunteers...Staff","Catheters.Placed.Replaced.","Names_Crt","Names_Int","Names_Wel","Names_Dsc","Details_Dsc","Count_Dis","Names_Dis","Count_New","Names_New","Inventory...Medications","Inventory.Needs...Supplies","Inventory...Medical.Supplies","Additional.Information","Have.you.logged.your.volunteer.hours.at.myvolunteerpage.com..","Any.Questions.","Inventory...Food...General.Supplies","Most.Urgent.Supplies.Needed","Panleuk.Kittens","Hour_Sent","Count_Vols"
2013-06-10 15:55:00,10,5,4,1,5,1,"Kumiko, Nipuni ","Flora - replaced to right rear w/ T port
Paps - placed on front w/ T port
Flynn - replaced to front left - no T port
Falcor - replaced to front left - no T port","Flynn- Lots of bloody diarrhea and vomit in cage this am. Had 1/2 dose IV Baytril and 300ml hetastarch. Around noon, he had a lot of red, bloody vomit. Gave 1/2 dose ondansetron, carafate slurry, and FF 10mLs 45min after carafate.

Cookie - Vomitting a lot this morning.

Flora - vomitting, no diarrhea, QAR/lethargic

Paps - lots of vomit and blood diarrhea in cage this morning and some throughout shift. Placed a catheter w/ T-port and set up on pump. Gave famotidine and a dose of reglan too (before i had started the pump). He could probably use some hetastarch if he continues to have bloody diarrhea. ","Falcor - some green diarrhea, some vomit, holding down 9cc food","All off pump-
Daisy - eating like a pig, no solid poops given yet.
Elijah - eating a fair amount of turkey, I/D, no solid poops yet
Janna - eating turkey/chk stix, took off pump 
Spot - eating dry ID, syringe fed 8cc

**Gooch - On SQs, ate some wet food, BAR. No V/D. Make sure to note in the report when symptoms start** ","Colby",NA,4,"Yamazaki, White Snow, Nola, Winston",0,NA,"Baytril, IV Lines (with port + screw), Cefazolin/Ampicillin, Famotidine","None","10cc Syringes, Oops, I'll fix this question later!","Ampicillin can be used in place of cefazolin - dose is the same.

Somebody has been using 18G needs in the Oxytetracycline!!!!!!!!!!!!!!!!!!!!!!!!!! A hole is already starting to form :(",NA,NA,NA,NA,NA,15,2
2013-06-10 21:59:00,10,2.5,2,4,4,0,"Katie, Emily","Flora- catheter replaced in Left Front leg
","Flynn- Lethargic, Watery vomit and watery bloody diarrhea. On fluid and hetastarch pump. Catheter is positional. 

Paps- QAR and pink, but had very cold feet. Hetastarch bolus. IV baytril. Drooly and nauseous for most of the shift, vomited after carafate, even though he'd had anti-emetics. Bloody liquid blowout near the end of the shift. He was coughing a little while I was with him, so watch for URI. Did not FF because vomited. 

","Flora- QAR/leth, pink, warm. IV Tx with SQ baytril. No V/D, ate some turkey and drank water. 

Falcor- Vomited after sucralfate, QAR, pink, warm. No diarrhea tonight. 

Gooch-No V/D. QAR, pink, warm. Didn't absorb all previous fluid, only gave enough to dilute baytril tonight per Dr. K. SQ treatment. Didn't eat this shift but had finished his AM food. He's very sweet, we let him out and he poked around the ward. He also crawled into my lap when I opened the cage for treatment <3. 

Cookie- Vomited food and bile, diarrhea. Pump increased to 120 ml/hr. IV Tx. QAR, pink warm. ","Spot- ate a bunch of turkey and vienna sausage. Orals. 

Janna- ate a little turkey when I left her alone. Gave the orals. 

Elija- wants to growl at everybody who gets to wander around. Ate wet food. Only on metro. 

Daysi- Asleep most of the shift since we had a towel over her run, but was an escape artist when we opened her door. Only on metro. Can test when she has another solid poop. ",NA,NA,0,NA,0,NA,"IV Lines (with port + screw), Cefazolin/Ampicillin, Famotidine, Anzemet, Sucralfate, any anti-emetic, everything listed is either out or very low","Critical care or Recovery food","Critical care or Recovery food, 1cc Syringes, 3cc Syringes, 10cc Syringes, 18 G needles, 22 G needles","All the meds we need, we really need. We finished the famotadine, which leaves us with Reglan as the only anti-emetic back here. There are about 5 tabs of sucralfate left, and a several dogs are getting a whole tablet. We started the last bottle of Ampicillin, but morning shift will probably need more. There are no new IV lines, only the ones we re-use. There are no 10 cc syringes, one box of 1 cc, 1 and 1/2 boxes of 3 cc syringes, and no extra boxes of 18 G needles or 22 G needles. we have 3 (little) cans of recovery/critical care food. 

I left a syringe of recovery in the fridge, anyone can get it tomorrow. I was gonna give it to Paps, but then he vomited a bunch while I went to get it. ",NA,NA,NA,NA,NA,21,2
2013-06-11 10:57:00,10,3,1,5,4,0,"Won, Hyeyeon, Sara","Cookie, Flynn","Flynn : had several vomits, bloody and mucousy diarrhea, had baytril IV, changed the catheter, the temp went up to 104.5 and down to 102.5 now. Please check on his temp and see if he is panting.

","Cookie: vomited, had the catheter replaced.

Flora : had vomit, didn't want to eat

Falcor: ate all turkey

Gooch : ate some turkey



","Janna : has infected wound from the catheter site.
Spot, Daysi, Elisah : doing well.",NA,NA,0,NA,1,"Jessie : a new dog, in the kennel1, vomited. We started on Baytril and Polyflex ( we don't have any cefazolin.),  IV bolus. She came with an LRS bag but we were not sure what's inside so we just hung it on the wall next to her cage.

","IV Lines (with port + screw), Cefazolin/Ampicillin, Zantac, Famotidine, Anzemet, Ampicillin","Gloves - small","3cc Syringes, 10cc Syringes","We don't have any famotidine, cefazolin and couldn't give them.
",NA,NA,NA,NA,NA,10,3
2013-06-11 23:26:00,15,4.5,3,4,5,0,"Alicia, Peggy T, Kate",NA,"Flynn- QAR, Leth, Temp down from this afternoon 101.3, V, no D. Piggybacked bag.

Jessie- QAR, P, W. Bloody d

Paps- QAR, P, W. Bloody d, yellow vomit.
","Falcor- catheter pulled, on orals. 
Flora- catheter pulled. On SQ and orals. Liked the walk around in between treatment. 
Janna- QAR, P, W. Boarding on good.
Cookie- QAR, P, W. Bloody vommit. Not eating.

","Gooch, and the 3 listed below ready to discharge.",NA,NA,0,NA,4,"Minnie- BAR, P, W. On SQ's. Did not liked getting poked. Came in with her brother Max.
Max- BAR, P, W. On SQ's.
Dopey- QAR/Leth, P, 100.1. On a pump. Small amounts of v and d. Did not FF, offered food.
Sleepy- QAR/Leth, P, W. On pump. V and D. Did not FF, but offered food.



","IV Lines (with port + screw), Famotidine, Parvo tests, sulcrafate/carafate, DAPP","None","10cc Syringes","Kennel in back, the one the cats are supposed to be in, did not get cleaned out. It is very, very dirty. We are sorry!!!",NA,NA,NA,NA,NA,23,3
2013-06-12 12:04:00,11,3,3,4,0,1,"Kumiko, Peggy, Hyeyeon, Joanna, Garret","Max: very first catheter, left front","1) Jessie, Bloody diarrhea, vomit. Got Hetastarch, IV baytril, dextrose. FF later
2) Dopey , Bloody diarrhea. FF, Hetastarch given
3) Flynn , bloody diarrhea and vomits, Hetastarch CRI

","4) Falocor, off pump. would not want to eat. FF. depressed?
5)Sleepy, on pump, diarrrha no vomit. FF
6) Max, vomits. brown soft stool, placed a catheter, on pump. FF l
7) Cookie, no V/D. FF. likes to be pet! (per Peggy)
","8) Gooch ; Eats well, healthy poop
9) Minnie, eats Ok, on SQ, Please monitor
10) Jenna, orals, inflammation on right arm, applied honey.
11) Flora , off pump , ate some, could not give some meds due to out of stock .","Paps",NA,3,"1) Daysi 2)Spot 3) Elijah  :) :) ;)",0,NA,"Dextrose, Famotidine, Buprenex, Anzemet, sucralfate,","Laundry Detergent","Laundry Detergent, 1cc Syringes, 3cc Syringes, 10cc Syringes, big black garbage bags","1)
We had to discard a bottle of Dextrose because it was hung outside the fridge. Please make sure every precious meds are in place.  (Per Dr. Johnson)
2)
Let's use the pump chart again. Cookie's pump was beeping says \"finish\" and bag was enough. Drs want to know how much was given when it was beeping.

we got some supplies (vet wrap, cefazolin, needles etc) thanks!!


",NA,NA,NA,NA,NA,12,5
2013-06-12 21:32:00,11,2,3,2,6,0,"Melissa, Marisa, Rachel","None","Jessie-Oxy
Flynn-IV Baytril
Dopey-IV Baytril","All FF but QAR:
Sleepy
Max
","All eating on own:
Mollie
Gooch-is quite the piggy
Minnie
Janna
Flora
Cookie",NA,NA,0,NA,0,NA,"Polyflex, Famotidine, Anzemet, 3ml syringes","laundry detergent-on last box","3cc Syringes","Got 10cc syringes, 1cc syringes

",NA,NA,NA,NA,NA,21,3
